SceneObject,HierarchyPath,Primitive,Category,Material,Rank,CandidateAsset,Kind,Score,Reason
"Leaf_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1","Cube","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Leaf_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2","Cube","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Prefab",65,"semantic:fern; foliage-category; project-art"
"Leaf_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2","Cube","foliage","Mat_JungleLeaves",2,"Assets/TerrainSampleAssets/Prefabs/Fern_A.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2","Cube","foliage","Mat_JungleLeaves",3,"Assets/TerrainSampleAssets/Prefabs/Fern_B.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2","Cube","foliage","Mat_JungleLeaves",4,"Assets/TerrainSampleAssets/Prefabs/Fern_C.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2","Cube","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Leaf_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3","Cube","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Prefab",65,"semantic:fern; foliage-category; project-art"
"Leaf_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3","Cube","foliage","Mat_JungleLeaves",2,"Assets/TerrainSampleAssets/Prefabs/Fern_A.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3","Cube","foliage","Mat_JungleLeaves",3,"Assets/TerrainSampleAssets/Prefabs/Fern_B.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3","Cube","foliage","Mat_JungleLeaves",4,"Assets/TerrainSampleAssets/Prefabs/Fern_C.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3","Cube","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Leaf_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4","Cube","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Prefab",65,"semantic:fern; foliage-category; project-art"
"Leaf_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4","Cube","foliage","Mat_JungleLeaves",2,"Assets/TerrainSampleAssets/Prefabs/Fern_A.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4","Cube","foliage","Mat_JungleLeaves",3,"Assets/TerrainSampleAssets/Prefabs/Fern_B.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4","Cube","foliage","Mat_JungleLeaves",4,"Assets/TerrainSampleAssets/Prefabs/Fern_C.prefab","Prefab",55,"semantic:fern; foliage-category"
"Leaf_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4","Cube","foliage","Mat_JungleLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Foliage/Grass/forestpack_foliage_grassPatch_small_1.prefab","Prefab",50,"foliage-category; high-quality"
"Foliage1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1","Sphere","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_TropicalBush.prefab","Prefab",65,"semantic:bush; foliage-category; project-art"
"Foliage1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1","Sphere","foliage","Mat_JungleLeaves",2,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Bush_Mesh.fbx","Model",55,"semantic:bush; foliage-category"
"Foliage1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1","Sphere","foliage","Mat_JungleLeaves",3,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/MeshBillboard/Bush_Mesh.prefab","Prefab",55,"semantic:bush; foliage-category"
"Foliage1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1","Sphere","foliage","Mat_JungleLeaves",4,"Assets/HD_Jungle_Assets/Jungle/HD_Jungle_Bush_01.prefab","Prefab",55,"semantic:bush; foliage-category"
"Foliage1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1","Sphere","foliage","Mat_JungleLeaves",5,"Assets/TerrainSampleAssets/Prefabs/Bush_A.prefab","Prefab",55,"semantic:bush; foliage-category"
"Foliage2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2","Sphere","foliage","Mat_JungleLeaves",1,"Assets/Art/Environment/Plants/Plant_TropicalBush.prefab","Prefab",65,"semantic:bush; foliage-category; project-art"
"Foliage2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2","Sphere","foliage","Mat_JungleLeaves",2,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Bush_Mesh.fbx","Model",55,"semantic:bush; foliage-category"
"Foliage2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2","Sphere","foliage","Mat_JungleLeaves",3,"Assets/FlipGameDev/Terrain&GrassPack/Prefabs/MeshBillboard/Bush_Mesh.prefab","Prefab",55,"semantic:bush; foliage-category"
"Foliage2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2","Sphere","foliage","Mat_JungleLeaves",4,"Assets/HD_Jungle_Assets/Jungle/HD_Jungle_Bush_01.prefab","Prefab",55,"semantic:bush; foliage-category"
"Foliage2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2","Sphere","foliage","Mat_JungleLeaves",5,"Assets/TerrainSampleAssets/Prefabs/Bush_A.prefab","Prefab",55,"semantic:bush; foliage-category"
"Mesh","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh","Sphere","rock","Mat_MossyRock",1,"Assets/Art/Environment/Rocks/Rock_MossyBoulder.prefab","Prefab",90,"semantic:rock; semantic:boulder; rock-category; project-art"
"Mesh","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh","Sphere","rock","Mat_MossyRock",2,"Assets/Art/Environment/Rocks/Rock_CliffFormation.prefab","Prefab",65,"semantic:rock; rock-category; project-art"
"Mesh","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh","Sphere","rock","Mat_MossyRock",3,"Assets/Art/Environment/Rocks/Rock_FloatingIsland.prefab","Prefab",65,"semantic:rock; rock-category; project-art"
"Mesh","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh","Sphere","rock","Mat_MossyRock",4,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_1.fbx","Model",55,"semantic:rock; rock-category"
"Mesh","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh","Sphere","rock","Mat_MossyRock",5,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_10.fbx","Model",55,"semantic:rock; rock-category"
"Frond_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_0","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_0","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_0","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_0","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_0","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_0","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_1","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_1","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_1","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_1","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_1","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_1","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_2","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_2","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_2","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_2","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_2","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_2","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_3","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_3","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_3","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_3","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_3","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_3","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_4","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_5","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5","Cube","tree","Mat_PalmLeaves",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_5","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5","Cube","tree","Mat_PalmLeaves",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Frond_5","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5","Cube","tree","Mat_PalmLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_5","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5","Cube","tree","Mat_PalmLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Frond_5","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5","Cube","tree","Mat_PalmLeaves",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Trunk","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Trunk","Cylinder","tree","Mat_JungleWood",1,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Trunk","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Trunk","Cylinder","tree","Mat_JungleWood",2,"Assets/Art/Environment/Trees/Tree_CoconutPalm.prefab","Prefab",90,"semantic:tree; semantic:palm; tree-category; project-art"
"Trunk","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Trunk","Cylinder","tree","Mat_JungleWood",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Trunk","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Trunk","Cylinder","tree","Mat_JungleWood",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Trunk","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Trunk","Cylinder","tree","Mat_JungleWood",5,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_Center","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center","Sphere","tree","Mat_JungleLeaves",1,"Assets/Art/Environment/Trees/Tree_JungleCanopy.prefab","Prefab",90,"semantic:tree; semantic:canopy; tree-category; project-art"
"Foliage_Center","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center","Sphere","tree","Mat_JungleLeaves",2,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_Center","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center","Sphere","tree","Mat_JungleLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_Center","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center","Sphere","tree","Mat_JungleLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_Center","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center","Sphere","tree","Mat_JungleLeaves",5,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",65,"semantic:tree; tree-category; project-art"
"Foliage_L","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L","Sphere","tree","Mat_JungleLeaves",1,"Assets/Art/Environment/Trees/Tree_JungleCanopy.prefab","Prefab",90,"semantic:tree; semantic:canopy; tree-category; project-art"
"Foliage_L","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L","Sphere","tree","Mat_JungleLeaves",2,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Fir/forestpack_tree_fir_tall.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_L","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L","Sphere","tree","Mat_JungleLeaves",3,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Leaf/Normal/forestpack_tree_1_leaf_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_L","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L","Sphere","tree","Mat_JungleLeaves",4,"Assets/Supercyan Free Forest Sample/Prefabs/High Quality/Tree/Treestump/forestpack_tree_stump_1.prefab","Prefab",75,"semantic:tree; tree-category; high-quality"
"Foliage_L","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L","Sphere","tree","Mat_JungleLeaves",5,"Assets/Art/Environment/HD/Trees/HD_Tree_CoconutPalm_01.prefab","Prefab",65,"semantic:tree; tree-category; project-art"
"Foliage_R","[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_R","Sphere","tree","Mat_JungleLeaves",1,"Assets/Art/Environment/Trees/Tree_JungleCanopy.prefab","Prefab",90,"semantic:tree; semantic:canopy; tree-category; project-art"
