SECTION,TYPE,PATH,DETAIL
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Torso/Chest | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Arm_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Arm_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Leg_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Leg_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Tail | Cylinder | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_01/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_02/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_03/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_04/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_01/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_02/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_03/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_04/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_05/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Water_Extinguisher_Buff | Cylinder | Default-Material",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Fire_Hazard_Zone | Cube | Mat_Fire_Hazard",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Toxic_Mushroom_Hazard | Sphere | Mat_Toxic_Mushroom",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Pillar_L | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Pillar_R | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Lintel | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Left | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Left/RuneInlay_L | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Right | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Right/RuneInlay_R | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Left/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Left/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Center/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Center/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Right/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Right/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Checkpoint_01_Start | Cylinder | Mat_Checkpoint_Active",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Checkpoint_02_PostDoor | Cylinder | Mat_Checkpoint_Active",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Breakable_Celestial_Relic/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Breakable_Celestial_Relic/Crystal | Sphere | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Body | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Head | Sphere | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_FL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_FR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_BL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_BR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Body | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Head | Sphere | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_FL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_FR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_BL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_BR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Body | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head | Sphere | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head/Antler_L | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head/Antler_R | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_FL | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_FR | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_BL | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_BR | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body | Capsule | Mat_ParrotFeather",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Beak | Cube | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Wing_L | Cube | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Wing_R | Cube | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body/Eye_L | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body/Eye_R | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Leg_L | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Leg_R | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Body | Cylinder | Mat_TitanFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Wing_L | Cube | Mat_ButterflyWing",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Wing_R | Cube | Mat_ButterflyWing",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Head | Sphere | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Snout | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Body | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Arm_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Arm_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Leg_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Leg_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Level_01_Complete_Gateway | Cylinder | Mat_Gateway_Portal",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Fire_Hazard_Zone/VFX_FireHazard_Flames |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Toxic_Mushroom_Hazard/VFX_Poison_SporeCloud |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Checkpoint_01_Start/VFX_Checkpoint_Beam |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Checkpoint_02_PostDoor/VFX_Checkpoint_Beam |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Level_01_Complete_Gateway/VFX_Portal_Vortex |  | ",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Axe_Curved.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Axe_Straight.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Broad.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Curved.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Narrow.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Drawing_Knife.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Drill_Bit.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/File.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Gimlet.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Hand_Drill.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Hand_Saw.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Plane_Backward.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Plane_Forward.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Rasp.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Common/Meshes/Floor_Round.fbx",""
ASSET,MODEL,"Assets/Furry Squirrel/Meshes/Squirrel.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Chicken_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Deer_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Dog_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Horse_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Kitty_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Pinguin_001.fbx",""
ASSET,MODEL,"Assets/ithappy/Animals_FREE/Meshes/Tiger_001.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Bush_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Bush_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Bush_3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Grass_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Grass_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Grass_3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Grass_4.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Other/Water Plane.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Rock_Arc.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Rock_Pile_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Rock_Pile_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Rock_Pile_3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_4.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_5.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_6.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_7.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_8.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_9.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_10.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_11.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_12.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Rocks/Stone_13.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Canyon.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Fields.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Forest.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Lake.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Mountain_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Mountain_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Terrains/Mountain_3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine4.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine5.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Pine6.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_1.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_2.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_3.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_4.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_5.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_6.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_7.fbx",""
ASSET,MODEL,"Assets/Low Poly Environment Starter Kit/Source/Meshes/Trees/Tree_8.fbx",""
ASSET,MODEL,"Assets/Patchmesh/Stylized Critter Collection Demo/Meshes/Caterpillar.fbx",""
ASSET,MODEL,"Assets/Patchmesh/Stylized Critter Collection Demo/Meshes/Ladybug.fbx",""
ASSET,MODEL,"Assets/Polytope Studio/Lowpoly_Environments/Sources/Meshes/Flowers/PT_Poppy_02.fbx",""
ASSET,MODEL,"Assets/Polytope Studio/Lowpoly_Environments/Sources/Meshes/Mushrooms/PT_Caesars_Mushroom_01.fbx",""
ASSET,MODEL,"Assets/Polytope Studio/Lowpoly_Environments/Sources/Meshes/Plants/PT_Grass_02.fbx",""
ASSET,MODEL,"Assets/Polytope Studio/Lowpoly_Environments/Sources/Meshes/Rocks/PT_Generic_Rock_01.fbx",""
