Asset Path,Category,3D/2D,Quality Class,Used/Unused,Reference Count,Action,Reason,Referenced By
"Assets/FlipGameDev/Terrain&GrassPack/Art/Textures/Grass_Billboard/Orchid_Bilboard.png","Foliage/Plants","2K Alpha Texture","High (Photorealistic PBR)","Used",3,"KEEP","Jungle wildflower orchid billboard; used in Mat_Cinematic_OrchidBillboard","Assets/Art/Environment/HD/Materials/Mat_Cinematic_OrchidBillboard.mat;Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/Art/Environment/HD/Plants/HD_Plant_JungleFern_01.prefab","Foliage/Plants","3D Mesh/Prefab","High (Photorealistic PBR)","Used",2,"KEEP","3D foreground fern mesh","Assets/Editor/HDLevel01CinematicIntegrator.cs;Assets/Editor/HDEnvironmentBuilder.cs"
"Assets/Art/Environment/Plants/Plant_JungleFern.prefab","Foliage/Plants","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy scene anchor in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Plants/Plant_TropicalBush.prefab","Foliage/Plants","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy scene anchor in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Plants/Plant_GlowingMushroom.prefab","Foliage/Plants","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy scene anchor in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Plants/Plant_HibiscusFlower.prefab","Foliage/Plants","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy scene anchor in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_1.fbx","Rocks","3D FBX Mesh","High (Photorealistic PBR)","Used",2,"KEEP","Scanned 3D river stone along path borders","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_3.fbx","Rocks","3D FBX Mesh","High (Photorealistic PBR)","Used",2,"KEEP","Scanned 3D medium boulder","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_5.fbx","Rocks","3D FBX Mesh","High (Photorealistic PBR)","Used",2,"KEEP","Scanned 3D cluster boulder","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_8.fbx","Rocks","3D FBX Mesh","High (Photorealistic PBR)","Used",2,"KEEP","Scanned 3D mossy boulder","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_12.fbx","Rocks","3D FBX Mesh","High (Photorealistic PBR)","Used",2,"KEEP","Towering 3D cliff face used in panoramic backdrop","Assets/Editor/HDLevel01CinematicIntegrator.cs"
"Assets/Art/Environment/Rocks/Rock_MossyBoulder.prefab","Rocks","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Used",1,"REQUIRED DEPENDENCY","Legacy anchor in Level01_Awakening.unity; visual overridden by [HD_Visual]","Assets/Scenes/Level01_Awakening.unity"
"Assets/Art/Environment/Rocks/Rock_MossyMedium.prefab","Rocks","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Unused",0,"ARCHIVE/REMOVE","Unreferenced primitive placeholder asset",""
"Assets/Art/Environment/Rocks/Rock_RiverStone.prefab","Rocks","3D Mesh/Prefab","Low (Stylized/Low-Poly Placeholder)","Unused",0,"ARCHIVE/REMOVE","Unreferenced primitive placeholder asset",""
"Assets/Art/Environment/Ruins/Ruins_AncientArch.prefab","Ruins","3D Mesh/Prefab","Medium (Standard Asset)","Used",2,"REQUIRED DEPENDENCY","3-Rune Temple Puzzle Gateway arch in Level01_Awakening.unity","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/Environment/Ruins/Ruins_RunePedestal.prefab","Ruins","3D Mesh/Prefab","Medium (Standard Asset)","Used",3,"REQUIRED DEPENDENCY","Rune switch interaction triggers; referenced by RuneSwitch.cs & AutoGameBuilder.cs","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs;Assets/Scripts/Puzzles/RuneSwitch.cs"
"Assets/Art/Environment/Ruins/Ruins_StoneDoor.prefab","Ruins","3D Mesh/Prefab","Medium (Standard Asset)","Used",2,"REQUIRED DEPENDENCY","Temple Puzzle door slab animated by RuneDoor.cs","Assets/Scenes/Level01_Awakening.unity;Assets/Scripts/Puzzles/RuneDoor.cs"
"Assets/Art/Player/Player_Monkey_Rig.prefab","Characters/Enemies","3D Character","High (Gameplay Required)","Used",4,"REQUIRED DEPENDENCY","Player Character Controller, MonkeySetupBinder, GuardianCombat","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs;Assets/Scripts/Player/MonkeyPlayerController.cs"
"Assets/Art/Bosses/Boss_AlphaJaguar.prefab","Characters/Enemies","3D Character","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Act 1 Boss Encounter","Assets/Scenes/Level10_AlphaJaguarBoss.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/Bosses/Boss_StoneGolem.prefab","Characters/Enemies","3D Character","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Act 2 Boss Encounter","Assets/Scenes/Level20_StoneGolemBoss.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/Bosses/Boss_RiverSerpent.prefab","Characters/Enemies","3D Character","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Act 3 Boss Encounter","Assets/Scenes/Level30_RiverSerpentBoss.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/Bosses/Boss_ShadowBeast.prefab","Characters/Enemies","3D Character","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Act 4 Boss Encounter","Assets/Scenes/Level40_ShadowBeastBoss.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/Props/Prop_GoldenBanana.prefab","Collectibles/Props","3D Collectible","High (Gameplay Required)","Used",3,"REQUIRED DEPENDENCY","Collectible Banana score system (CollectibleItem.cs)","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs;Assets/Scripts/Collectibles/CollectibleItem.cs"
"Assets/Art/Props/Prop_AncientCoin.prefab","Collectibles/Props","3D Collectible","High (Gameplay Required)","Used",3,"REQUIRED DEPENDENCY","Collectible Coin currency system (CurrencyManager.cs)","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs;Assets/Scripts/Economy/CurrencyManager.cs"
"Assets/Art/Props/Prop_ClimbableVine.prefab","Collectibles/Props","3D Prop","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Vine climbing locomotion mechanic (VineClimb.cs)","Assets/Scenes/Level01_Awakening.unity;Assets/Scripts/Mechanics/VineClimb.cs"
"Assets/Art/Props/Prop_HollowFallenLog.prefab","Collectibles/Props","3D Prop","Medium (Standard Asset)","Used",2,"REQUIRED DEPENDENCY","Crawl-through environmental prop","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/VFX/VFX_FireHazard_Flames.prefab","VFX","VFX Particle","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Fire hazard zone damage feedback (FireHazard.cs)","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs"
"Assets/Art/VFX/VFX_Poison_SporeCloud.prefab","VFX","VFX Particle","High (Gameplay Required)","Used",2,"REQUIRED DEPENDENCY","Toxic mushroom damage feedback (ToxicMushroom.cs)","Assets/Scenes/Level01_Awakening.unity;Assets/Editor/AutoGameBuilder.cs"
