SECTION,TYPE,PATH,DETAIL
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_4 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_CoconutPalm/Frond_5 | Cube | Mat_PalmLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Trunk | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_Center | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_L | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Tree_JungleCanopy/Foliage_R | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Rock_MossyBoulder/Mesh | Sphere | Mat_MossyRock",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Stem | Cylinder | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_HibiscusFlower/Petals | Sphere | Mat_ParrotFeather",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_0 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_1 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_2 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_3 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_JungleFern/Leaf_4 | Cube | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage1 | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 01_ENVIRONMENT ---]/__HDVISUAL__Plant_TropicalBush/Foliage2 | Sphere | Mat_JungleLeaves",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head | Sphere | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Snout | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Ear_L | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Head/Ear_R | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Torso | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Torso/Chest | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Arm_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Arm_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Leg_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Leg_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Player/ModelHolder/Monkey_Base/Tail | Cylinder | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_01/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_02/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_03/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Banana_04/BananaMesh | Capsule | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_01/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_02/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_03/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_04/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Coin_05/CoinMesh | Cylinder | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Water_Extinguisher_Buff | Cylinder | Default-Material",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Fire_Hazard_Zone | Cube | Mat_Fire_Hazard",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Toxic_Mushroom_Hazard | Sphere | Mat_Toxic_Mushroom",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Pillar_L | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Pillar_R | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ruins_AncientArch/Lintel | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Left | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Left/RuneInlay_L | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Right | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Ancient_Stone_Door/DoorSlab_Right/RuneInlay_R | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Left/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Left/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Center/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Center/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Right/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Rune_Switch_Right/RuneGem | Sphere | Mat_RuneActiveGlow",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Checkpoint_01_Start | Cylinder | Mat_Checkpoint_Active",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Checkpoint_02_PostDoor | Cylinder | Mat_Checkpoint_Active",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Breakable_Celestial_Relic/Pedestal | Cylinder | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Breakable_Celestial_Relic/Crystal | Sphere | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Body | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Head | Sphere | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_FL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_FR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_BL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Predator_01/Leg_BR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Body | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Head | Sphere | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_FL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_FR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_BL | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Jungle_Guard_02/Leg_BR | Capsule | Mat_PredatorSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Body | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head | Sphere | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head/Antler_L | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Head/Antler_R | Cylinder | Mat_JungleWood",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_FL | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_FR | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_BL | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Deer/Leg_BR | Capsule | Mat_DeerFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body | Capsule | Mat_ParrotFeather",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Beak | Cube | Mat_GuardianGold",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Wing_L | Cube | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Parrot/Body/Wing_R | Cube | Mat_DivineCyan",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body/Eye_L | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Body/Eye_R | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Leg_L | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_TreeFrog/Leg_R | Sphere | Mat_FrogSkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Body | Cylinder | Mat_TitanFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Wing_L | Cube | Mat_ButterflyWing",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Butterfly/Wing_R | Cube | Mat_ButterflyWing",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Head | Sphere | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Snout | Sphere | Mat_MonkeySkin",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Body | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Arm_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Arm_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Leg_L | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Wildlife_Monkey/Leg_R | Capsule | Mat_MonkeyFur",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/Level_01_Complete_Gateway | Cylinder | Mat_Gateway_Portal",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/__HDVISUAL__Ruins_AncientArch/Pillar_L | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/__HDVISUAL__Ruins_AncientArch/Pillar_R | Cube | Mat_AncientStone",""
SCENE,PRIMITIVE,"[--- 02_GAMEPLAY ---]/__HDVISUAL__Ruins_AncientArch/Lintel | Cube | Mat_AncientStone",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Fire_Hazard_Zone/VFX_FireHazard_Flames |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Toxic_Mushroom_Hazard/VFX_Poison_SporeCloud |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Checkpoint_01_Start/VFX_Checkpoint_Beam |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Checkpoint_02_PostDoor/VFX_Checkpoint_Beam |  | ",""
SCENE,PINK_MATERIAL,"[--- 02_GAMEPLAY ---]/Level_01_Complete_Gateway/VFX_Portal_Vortex |  | ",""
ASSET,MODEL,"Assets/Art/player/B3_Monkey/FbxUnity/Monkey_B3.Fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Axe_Curved.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Axe_Straight.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Broad.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Curved.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Chisel_Narrow.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Drawing_Knife.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Drill_Bit.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/File.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Gimlet.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Hand_Drill.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Hand_Saw.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Plane_Backward.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Plane_Forward.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Carpentry_Tools/Meshes/Rasp.fbx",""
ASSET,MODEL,"Assets/CoolWorks_Studio/Common/Meshes/Floor_Round.fbx",""
ASSET,MODEL,"Assets/Fantasy Forest Environment Free Sample/Meshes/Source/grass01.FBX",""
ASSET,MODEL,"Assets/Fantasy Forest Environment Free Sample/Meshes/Source/tree_1.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Bush_Mesh.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/hybrid_sky_layer_cube.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_1.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_2.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_3.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_4.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_5.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_6.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_7.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_8.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_9.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_10.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_11.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks/Rock_12.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks_Small/Road_Rocks.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks_Small/Rock_Small_1.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks_Small/Rock_Small_2.fbx",""
ASSET,MODEL,"Assets/FlipGameDev/Terrain&GrassPack/Art/Meshes/Rocks_Small/Rock_Small_3.fbx",""
